X,ID,Run,tag_ID,lat,long,month,year,sample_loc,season,TotalLength,StandardLength,sclass,tissue_class,d15N,d13C,SL_est,est_age
41,29,B,EN-170701-1,28.029533,-114.339297,7,2017,GuerreroNegro,Summer,74,NA,Medium,Fin,17.97555517,-15.57943581,61.86558766,7.934902007
42,30,B,EN-170506-3,28.029533,-114.339297,5,2017,GuerreroNegro,Spring,75,NA,Medium,Fin,17.5648687,-14.93142378,62.71151994,8.071904742
43,31,B,EN-170623-2,28.029533,-114.339297,6,2017,GuerreroNegro,Summer,63,NA,Small,Fin,18.15863581,-15.21542593,52.56033258,6.479984223
44,32,B,EN-170819-1,28.029533,-114.339297,8,2017,GuerreroNegro,Summer,74,NA,Medium,Fin,16.24953386,-15.7278807,61.86558766,7.934902007
45,33,B,EN-170713-6,28.029533,-114.339297,7,2017,GuerreroNegro,Summer,46,NA,Small,Fin,17.37744028,-16.19175133,38.17948382,4.400077332
46,34,B,TJ-170610-5,26.559731,-113.084641,6,2017,LagunaSanIgnacio,Summer,90,NA,Medium,Fin,19.5439301,-12.47751527,75.40050414,10.2326908
47,35,B,TJ-170523-4,27.607747,-114.871167,5,2017,BahiaTortugas,Spring,57,NA,Small,Fin,17.91916312,-14.26606552,47.4847389,5.723975341
48,36,B,TJ-170523-7,27.607747,-114.871167,5,2017,BahiaTortugas,Spring,66,NA,Small,Fin,18.57866764,-14.384884,55.09812942,6.867633266
49,37,B,TJ-170610-2,26.559731,-113.084641,6,2017,LagunaSanIgnacio,Summer,86,NA,Medium,Fin,19.38339563,-15.31479936,72.01677502,9.636099853
50,38,B,TJ-170523-1,27.607747,-114.871167,5,2017,BahiaTortugas,Spring,53,NA,Small,Fin,18.32106362,-15.1605248,44.10100978,5.233588759
51,39,B,TJ-170523-2,27.607747,-114.871167,5,2017,BahiaTortugas,Spring,55,NA,Small,Fin,18.17303076,-14.85927954,45.79287434,5.477459441
52,40,B,TJ-170610-1,26.559731,-113.084641,6,2017,LagunaSanIgnacio,Summer,51,NA,Small,Fin,17.70920537,-15.16474517,42.40914522,4.992307128
53,46,B,GN-170717-2,28.029533,-114.339297,7,2017,GuerreroNegro,Summer,70.2,NA,Medium,Fin,18.22281472,-15.32319911,58.651045,7.421695853
54,47,B,GN-170717-1,28.029533,-114.339297,7,2017,GuerreroNegro,Summer,117.5,NA,Large,Fin,17.97716188,-16.49878108,98.66364184,14.82229831
55,48,B,GSB5,32.85501,-117.28127,7,2019,LaJolla,Summer,163,130,Large,Fin,18.94802937,-14.51363508,130,22.97527131
56,49,B,GSB6,32.8556,-117.28147,7,2019,LaJolla,Summer,118,99,Large,Fin,16.14778945,-15.10559456,99,14.89595323
57,1,C,GSB7,32.83229,-117.29059,10,2019,LaJolla,Fall,107,97,Large,Fin,16.64606277,-14.47974244,97,14.46146719
58,2,C,SolanaGSB,32.987,-117.274844,8,2019,SolanaBeach,Summer,137,110.5,Large,Fin,16.6113992,-13.04052921,110.5,17.56955065
59,3,C,ArtFreezerFish,28.029533,-114.339297,6,2019,GuerreroNegro,Summer,65,53,Small,Fin,16.23649412,-14.9120376,53,6.546671754
60,4,C,ER-190615-01,26.693234,-113.59556,6,2019,ElRosario,Summer,75,66.2,Medium,Fin,16.5089493,-14.44604848,66.2,8.645771395
61,5,C,PA-190914-01,26.73388,-113.50588,9,2019,PuntaAbreojos,Fall,141,124,Large,Fin,18.39911151,-15.16510546,124,21.17104963
62,6,C,TJ-190518-1,28.029533,-114.339297,5,2019,GuerreroNegro,Spring,45,36,Small,Fin,16.71845882,-15.74050087,36,4.100830297
63,7,C,TJ-200123-1,26.559731,-113.084641,1,2020,ElDatil,Winter,51,42,Small,Fin,16.36125271,-15.33334621,42,4.934340383
