"","Source","Meand15N","SDd15N","Meand13C","SDd13C","n"
"1","KLP",9.45732114008357,0.470096417708074,-14.8077717794488,0.576793647326197,13
"2","PHYTO",6.71334436000636,0.39284219256085,-21.5477182984682,0.446984031341909,9
